commune_code,commune_libelle,quartier,region,departement,zone,nb_enfants_0_4,nb_enfants_5_15,nb_adultes_H,nb_adultes_F,taille_menage,statut_occupation,type_habitat,proxy_niveau_vie,proxy_niveau_vie_label,repondant_sexe,repondant_age,repondant_statut,repondant_est_cm,cm_sexe,cm_age,cm_tranche_age,cm_type_enseignement,cm_niveau_instruction,cm_alpha_francais,cm_alpha_anglais,cm_alpha_arabe,cm_alpha_lng_nationale,cm_alpha_autre_etrangere,cm_est_alphabetise,cm_situation_matrimoniale,cm_statut_emploi,cm_secteur_emploi,cm_revenu,src__v1,src__v2,src__v3,src__v4,src__v5,src__v6,src__v7,sources_liste,nb_sources,nat__v8,nat__v9,nat__v10,nat__v11,nat__v12,nat__v13,nat__v14,nat__v15,nat__v16,nat__v17,natures_liste,nb_natures,mode_stockage,stockage_couvert,place_stockage,capacite_stockage_suffisante,tri_avant_evacuation,revente_dechets,types_revendus_liste,raison_non_revente,proportion_traitee,traitement_enfouissement,traitement_incineration,traitement_recyclage,traitement_compostage,au_moins_un_traitement,responsable_evacuation,acces_benne_tasseuse,benne_usage_regulier,distance_point_collecte,benne_point_nettoyage,benne_heure_convient,frequence_benne,satisfaction_benne,service_alternatif_type,service_alternatif_raison,a_service_alternatif,service_evacuation_payant,montant_evacuation_tranche,frequence_paiement,montant_mensuel_evacuation_fcfa,duree_quartier,existence_bacs_quartier,satisfaction_bacs,raison_insatisfaction_bacs,corbeilles_rue_presentes,satisfaction_emplacements_corbeilles,satisfaction_qualite_corbeilles,acces_depotoire_normalise,dep_sauvages_rue_freq,eaux_usees_rue_freq,depots_sauvages_observes,dernier_depot_sauvage,contact_UCG_pour_depot,satisfaction_reaction_UCG,nuisible__v23,nuisible__v24,nuisible__v25,nuisible__v26,nuisible__v27,nuisible__v28,nuisible__v29,nuisibles_liste,nb_nuisibles,service_balayage_rues,satisfaction_balayage,set_setal,place_publique,gestionnaire_place_publique,salubrite_place_publique,marche_present,gestionnaire_marche,gestion_dechets_marche,connait_UCG,campagne_sensibilisation,organisateur_campagne,satisfait_campagne,suggestions_amelioration,maladie__v30,maladie__v31,maladie__v32,maladie__v33,maladie__v34,maladie__v35,maladie__v36,maladie__v37,maladie__v38,maladies_liste,nb_maladies,aucune_maladie,nb_types_maladies_menage,maladie_liee_dechets
8,Jaxaay / Parcelles / Niakoul Rap,Grand dakar,Dakar,Pikine,Région de Dakar (urbain),2,0,8,3,13.0,Propriétaire,Maison basse,2,Moyen-haut,Homme,33.0,Fils ou Fille,Non,Homme,67.0,60 ans et plus,Aucun,,Non,Non,Non,Non,Non,Non,,,,,1,0,0,0,0,0,0,Consommation alimentaire / Cuisine,1,0,0,1,0,0,0,0,0,0,0,Restes d'aliments,1,Poubelle spécialisée,Oui,"Dans la rue, loin de la maison",Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Oui, très souvent","Oui, rarement",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Oui,Non,,,Designer dans chaque quartier au moins des responsable qui veillent aux ordures,0,0,1,0,0,0,0,0,0,Rhume,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,Niakh diariniou,Dakar,Pikine,Région de Dakar (urbain),0,0,10,6,16.0,Propriétaire,Maison basse,2,Moyen-haut,Homme,31.0,Fils ou Fille,Non,Homme,75.0,60 ans et plus,École française,Supérieur,Oui,Non,Oui,Oui,Non,Oui,,,,,1,0,1,0,0,0,0,Consommation alimentaire / Cuisine | Élevage,2,0,0,1,0,0,0,0,1,0,0,Restes d'aliments | Excréments d'animaux,2,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Oui,Non,,,,,,Oui,Non,,,Se rapprocher des OCB,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,Grand Dakar,Dakar,Pikine,Région de Dakar (urbain),5,6,10,5,26.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,40.0,Femme ou Mari,Non,Femme,60.0,60 ans et plus,École française,Supérieur,Oui,Oui,Non,Non,Non,Oui,,,,,0,1,0,0,0,0,0,Gestion du foyer (hors alimentation),1,0,1,0,0,0,0,0,0,0,0,Papier / Carton,1,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Oui,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Ne sait pas,,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,0,0,0,0,0,0,1,Autre,1,,,Oui,Non,,,,,,Oui,Non,,,Auto venir matin et soir,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
8,Jaxaay / Parcelles / Niakoul Rap,Grand dakar,Dakar,Pikine,Région de Dakar (urbain),2,3,7,7,19.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,45.0,Femme ou Mari,Non,Femme,85.0,60 ans et plus,École française,Supérieur,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation),2,1,0,1,0,0,0,0,0,0,0,Plastiques | Restes d'aliments,2,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,0,0,0,0,0,0,Moustiques,1,,,Oui,Non,,,,,,Non,Non,,,Après midi s il y avait des voitures sa serai mieu,0,0,0,0,0,0,0,0,1,Autre maladie,1,0,1,Non
10,Sébikotane,Yarakh HANN 3,Dakar,Rufisque,Région de Dakar (urbain),1,4,7,3,15.0,Propriétaire,Maison basse,2,Moyen-haut,Homme,28.0,Fils ou Fille,Non,Femme,52.0,45-59 ans,École française,Primaire,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,1,1,1,1,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Élevage | Animaux domestiques | Entretien du logement | Commerce / activités de production,6,1,1,1,1,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Excréments d'animaux,5,Seau / Bassine,Non,Dans la parcelle,Non,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Non, jamais","Non, jamais",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Oui,UCG,Mauvais / Pas satisfait,Oui,Mairie,Mauvais / Pas satisfait,Oui,Non,,,La mairie prend ses responsabilités.,1,0,1,0,0,0,1,0,1,Fièvre | Rhume | Démangeaisons | Autre maladie,4,0,4,Oui
10,Sébikotane,Yarakh HANN 3,Dakar,Rufisque,Région de Dakar (urbain),4,1,6,10,21.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,51.0,Femme ou Mari,Non,Homme,68.0,60 ans et plus,École coranique,,Non,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,0,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation),2,1,1,1,1,0,1,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Déchets verts,5,Seau / Bassine,Non,"Dans la rue, près de la maison",Non,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Oui,UCG,Mauvais / Pas satisfait,Oui,Mairie,Mauvais / Pas satisfait,Oui,Non,,,Augmenter la propreté du quartier.,0,1,0,0,0,0,0,0,0,Asthme,1,0,1,Oui
10,Sébikotane,Yarakh HANN 3,Dakar,Rufisque,Région de Dakar (urbain),0,0,3,2,5.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,30.0,Employé(e) rémunéré(e),Non,Homme,75.0,60 ans et plus,École française,Supérieur,Oui,Oui,Oui,Oui,Ne sait pas,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Entretien du logement,3,1,1,0,0,0,1,0,0,0,0,Plastiques | Papier / Carton | Déchets verts,3,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Oui,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Oui,Bon / Satisfait,Bon / Satisfait,Oui,"Non, jamais","Non, jamais","Oui, rarement",,,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Non,Non,,,,,,Oui,Non,,,Concrétiser les enquêtes.,0,0,1,1,1,0,0,0,0,Rhume | Sinusite | Toux,3,0,3,Oui
10,Sébikotane,Yarakh HANN 3,Dakar,Rufisque,Région de Dakar (urbain),3,2,3,3,11.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,26.0,Coépouse,Non,Homme,,,École française,Supérieur,Oui,Non,Non,Oui,Ne sait pas,Oui,,,,,1,1,1,1,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Élevage | Animaux domestiques | Entretien du logement,5,1,1,1,1,0,0,0,1,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Excréments d'animaux,5,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Oui,Bon / Satisfait,Bon / Satisfait,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Moins de 2 jours,Non,,0,1,1,0,0,0,0,Mouches | Cafards,2,,,Oui,Non,,,,,,Non,Non,,,Trouver des poubelles où mettre les ordures.,0,1,0,0,0,0,0,0,0,Asthme,1,0,1,Oui
10,Sébikotane,HANN 3,Dakar,Rufisque,Région de Dakar (urbain),1,0,5,6,12.0,Logé par un tiers,Maison basse,1,Moyen-bas,Femme,40.0,Femme ou Mari,Non,Homme,50.0,45-59 ans,École française,Primaire,Oui,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Entretien du logement,3,1,1,1,1,0,0,1,0,0,0,Plastiques | Papier / Carton | Restes d'aliments | Vêtements / Tissus | Métal,5,Poubelle spécialisée,Oui,Dans la parcelle,Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Non, jamais","Non, jamais","Non, jamais",,,,1,1,1,0,0,0,0,Moustiques | Mouches | Cafards,3,,,Oui,Non,,,,,,Non,Non,,,Déployé des bacs à ordure.,0,1,0,0,0,1,0,0,0,Asthme | Nausées ou vomissements,2,0,2,Oui
10,Sébikotane,Yarakh HANN 3,Dakar,Rufisque,Région de Dakar (urbain),1,2,4,3,10.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,55.0,Femme ou Mari,Non,Homme,60.0,60 ans et plus,École coranique,,Non,Non,Non,Oui,Non,Oui,,,,,1,1,0,0,1,0,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Entretien du logement,3,1,1,1,0,0,0,0,0,0,0,Plastiques | Papier / Carton | Restes d'aliments,3,Sac,Non,Autre,Non,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Oui,Bon / Satisfait,Très bon / Très satisfait,Oui,"Oui, rarement","Oui, rarement","Oui, rarement",,,,1,1,1,0,1,0,0,Moustiques | Mouches | Cafards | Vers,4,,,Oui,Non,,,,,,Non,Non,,,Mettre des poubelles dans le quartier.,1,1,1,1,1,1,0,0,0,Fièvre | Asthme | Rhume | Sinusite | Toux | Nausées ou vomissements,6,0,6,Oui
10,Sébikotane,HANN 3,Dakar,Rufisque,Région de Dakar (urbain),0,3,6,10,19.0,Propriétaire,Maison basse,2,Moyen-haut,Femme,15.0,Petit-fils / Petite-fille,Non,Femme,43.0,35-44 ans,École française,Primaire,Non,Non,Non,Oui,Non,Oui,,,,,1,0,0,0,1,1,0,Consommation alimentaire / Cuisine | Entretien du logement | Commerce / activités de production,3,1,1,1,0,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Métal | Médicaments,7,Poubelle spécialisée,Oui,"Dans la rue, près de la maison",Oui,Oui,Non,,N'est pas intéressé,Une partie,Non,Non,Non,Oui — une partie,Oui,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Oui,Très bon / Très satisfait,,Oui,Très mauvais / Pas du tout satisfait,,Oui,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,0,1,1,1,0,Moustiques | Mouches | Souris | Vers | Rats,5,,,Oui,Oui,Service privé,Très bon / Très satisfait,Oui,Mairie,Mauvais / Pas satisfait,Oui,Non,,,Payer des gens assez suffisant pour assurer le nettoyage du quartier,1,1,0,0,1,0,0,0,0,Fièvre | Asthme | Toux,3,0,3,Oui
10,Sébikotane,HANN CAPA,Dakar,Rufisque,Région de Dakar (urbain),1,0,2,3,6.0,Propriétaire,Maison en étage,2,Moyen-haut,Femme,58.0,Chef de ménage,Oui,Femme,58.0,45-59 ans,École coranique,,Non,Non,Non,Oui,Oui,Oui,,,,,1,1,0,0,1,1,0,Consommation alimentaire / Cuisine | Gestion du foyer (hors alimentation) | Entretien du logement | Commerce / activités de production,4,1,1,1,0,1,1,1,0,1,0,Plastiques | Papier / Carton | Restes d'aliments | Déchets électroménagers | Déchets verts | Métal | Médicaments,7,Sac,Oui,Dans la parcelle,Oui,Non,Non,,N'en a pas connaissance,Aucune partie,,,,,Non,,,,,,,,,,,Non,,,,0.0,1 mois et plus,Non,,,Non,,,Non,"Oui, très souvent","Oui, très souvent","Oui, fréquemment",Plus de 7 jours,Non,,1,1,1,1,1,1,0,Moustiques | Mouches | Cafards | Souris | Vers | Rats,6,,,Oui,Non,,,,,,Oui,Oui,Autre,Non,RIEN À DIRE,0,0,0,0,0,1,0,0,0,Nausées ou vomissements,1,0,1,Oui
