2026-06-25 00:25:00,357 | INFO     | pipeline | =================================================================
2026-06-25 00:25:00,801 | WARNING  | builder | Colonne brute absente : 'II_14' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,802 | WARNING  | builder | Colonne brute absente : 'II_16' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,804 | WARNING  | builder | Colonne brute absente : 'II_17' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,806 | WARNING  | builder | Colonne brute absente : 'II_18' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,807 | WARNING  | builder | Colonne brute absente : 'II_19' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,809 | WARNING  | builder | Colonne brute absente : 'II_20' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,811 | WARNING  | builder | Colonne brute absente : 'II_22' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,815 | WARNING  | builder | Colonne brute absente : 'II_23' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,821 | WARNING  | builder | Colonne brute absente : 'II_25_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,824 | WARNING  | builder | Colonne brute absente : 'II_25_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,827 | WARNING  | builder | Colonne brute absente : 'II_15' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,829 | WARNING  | builder | Colonne brute absente : 'III_2' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,832 | WARNING  | builder | Colonne brute absente : 'III_3' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,834 | WARNING  | builder | Colonne brute absente : 'III_5' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,835 | WARNING  | builder | Colonne brute absente : 'III_6' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,837 | WARNING  | builder | Colonne brute absente : 'III_8' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,840 | WARNING  | builder | Colonne brute absente : 'III_10' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,841 | WARNING  | builder | Colonne brute absente : 'III_11' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,842 | WARNING  | builder | Colonne brute absente : 'III_12' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,845 | WARNING  | builder | Colonne brute absente : 'III_13' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,847 | WARNING  | builder | Colonne brute absente : 'III_14' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,849 | WARNING  | builder | Colonne brute absente : 'III_15' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,924 | WARNING  | builder | Colonne brute absente : 'III_18' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,926 | WARNING  | builder | Colonne brute absente : 'III_19' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,928 | WARNING  | builder | Colonne brute absente : 'III_21' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,930 | WARNING  | builder | Colonne brute absente : 'III_22' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,931 | WARNING  | builder | Colonne brute absente : 'III_23' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,934 | WARNING  | builder | Colonne brute absente : 'III_24' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,936 | WARNING  | builder | Colonne brute absente : 'III_25' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,937 | WARNING  | builder | Colonne brute absente : 'III_26' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,939 | WARNING  | builder | Colonne brute absente : 'III_27' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,941 | WARNING  | builder | Colonne brute absente : 'III_28' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,942 | WARNING  | builder | Colonne brute absente : 'III_29' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,943 | WARNING  | builder | Colonne brute absente : 'III_31' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,946 | WARNING  | builder | Colonne brute absente : 'III_1' — variable(s) dérivée(s) mise(s) à NaN.
2026-06-25 00:25:00,948 | INFO     | builder | Bloc C (déchets) : 60 variables construites.
2026-06-25 00:25:01,030 | INFO     | builder | Bloc D (conséquences) : 5 variables construites.
2026-06-25 00:25:01,032 | INFO     | builder | Table consolidée : 2474 lignes × 91 colonnes.
2026-06-25 00:25:01,032 | INFO     | pipeline |   → Table finale : 91 variables analytiques.
2026-06-25 00:25:01,032 | INFO     | pipeline | 
[ÉTAPE 3/4] Export CSV et Stata...
2026-06-25 00:25:01,069 | INFO     | exporter | CSV exporté : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv (2474 lignes × 91 colonnes)
2026-06-25 00:25:01,071 | WARNING  | exporter | Noms raccourcis pour Stata : {'satisfaction_corbeilles_disposition': 'satisfaction_corbeilles_dispo', 'maladie_potentiellement_liee_dechets': 'maladie_potentiellement_liee_'}
2026-06-25 00:25:01,250 | INFO     | exporter | Stata .dta exporté : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:25:01,250 | INFO     | pipeline |   → CSV  : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv
2026-06-25 00:25:01,251 | INFO     | pipeline |   → DTA  : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:25:01,251 | INFO     | pipeline | 
[ÉTAPE 4/4] Génération du rapport QAQC...
2026-06-25 00:25:01,461 | INFO     | qaqc | Rapport QAQC sauvegardé : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:25:01,461 | INFO     | pipeline |   → QAQC : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:25:01,461 | INFO     | pipeline | 
=================================================================
2026-06-25 00:25:01,462 | INFO     | pipeline |   PIPELINE TERMINÉ AVEC SUCCÈS
2026-06-25 00:25:01,462 | INFO     | pipeline |   Durée : 1.1s
2026-06-25 00:25:01,462 | INFO     | pipeline |   Ménages traités   : 2474
2026-06-25 00:25:01,462 | INFO     | pipeline |   Variables output  : 91
2026-06-25 00:25:01,462 | INFO     | pipeline |   Anomalies QC      : 10
2026-06-25 00:25:01,462 | INFO     | pipeline |   Fichiers produits : c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.csv
2026-06-25 00:25:01,463 | INFO     | pipeline |                       c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\dataset_dechets.dta
2026-06-25 00:25:01,463 | INFO     | pipeline |                       c:\Users\User\Desktop\Ecole\AS3\Projet Traitement donnees\Insalubrite_traitement_donnees\output\QAQC_rapport.xlsx
2026-06-25 00:25:01,463 | INFO     | pipeline | =================================================================
